date,near,next,vix
2018-01-02,2018-01-31,2018-02-02,8.762574939035675
2018-01-03,2018-02-02,2018-02-05,8.404800515927487
2018-01-04,2018-02-02,2018-02-05,8.493159773039643
2018-01-05,2018-02-02,2018-02-05,8.467251771247845
2018-01-08,2018-02-07,2018-02-09,8.596005046504619
2018-01-09,2018-02-07,2018-02-09,9.261248491913438
2018-01-10,2018-02-09,2018-02-12,9.197287959273142
2018-01-11,2018-02-09,2018-02-12,9.099657207148434
2018-01-12,2018-02-09,2018-02-12,9.29533906778034
2018-01-16,2018-02-14,2018-02-16,10.816683061615578
2018-01-17,2018-02-16,2018-02-20,10.634362840642682
2018-01-18,2018-02-16,2018-02-20,10.852616770200814
2018-01-19,2018-02-16,2018-02-20,10.125725075542222
2018-01-22,2018-02-21,2018-02-23,10.151551071627516
2018-01-23,2018-02-21,2018-02-23,10.254902724710414
2018-01-24,2018-02-23,2018-02-26,10.811592257046993
2018-01-25,2018-02-23,2018-02-26,10.75121748681024
2018-01-26,2018-02-23,2018-02-26,10.404862033405808
2018-01-29,2018-02-28,2018-03-02,12.592658534696108
2018-01-30,2018-02-28,2018-03-02,13.390455736010553
2018-01-31,2018-03-02,2018-03-05,12.749670342402164
2018-02-01,2018-03-02,2018-03-05,12.428309578543683
2018-02-02,2018-03-02,2018-03-05,15.41436711132934
2018-02-05,2018-03-07,2018-03-09,27.199922058279913
2018-02-06,2018-03-07,2018-03-09,23.537103893301943
2018-02-07,2018-03-09,2018-03-12,19.351153620078684
2018-02-08,2018-03-09,2018-03-12,27.015317527461868
2018-02-09,2018-03-09,2018-03-12,23.104324775369392
2018-02-12,2018-03-14,2018-03-16,19.636414341158424
2018-02-13,2018-03-14,2018-03-16,19.34529240260857
2018-02-14,2018-03-16,2018-03-19,16.594224866986167
2018-02-15,2018-03-16,2018-03-19,16.195303674953873
2018-02-16,2018-03-16,2018-03-19,16.033782998116106
2018-02-20,2018-03-21,2018-03-23,17.15151421676006
2018-02-21,2018-03-23,2018-03-26,17.06517751924134
2018-02-22,2018-03-23,2018-03-26,16.45450091702013
2018-02-23,2018-03-23,2018-03-26,13.886133414726759
2018-02-26,2018-03-28,2018-03-29,13.790565149865074
2018-02-27,2018-03-29,2018-04-02,16.06843067071719
2018-02-28,2018-03-29,2018-04-02,16.5713747040905
2018-03-01,2018-03-29,2018-04-02,17.97253988122794
2018-03-02,2018-03-29,2018-04-02,16.292118543815935
2018-03-05,2018-04-04,2018-04-06,15.577089759517676
2018-03-06,2018-04-04,2018-04-06,15.438989134138357
2018-03-07,2018-04-06,2018-04-09,15.194328265562444
2018-03-08,2018-04-06,2018-04-09,14.367732869995677
2018-03-09,2018-04-06,2018-04-09,12.442041537016243
2018-03-12,2018-04-11,2018-04-13,13.328103500816969
2018-03-13,2018-04-11,2018-04-13,13.985638161793165
2018-03-14,2018-04-13,2018-04-16,14.494342966278545
2018-03-15,2018-04-13,2018-04-16,13.628504640590098
2018-03-16,2018-04-13,2018-04-16,12.95412315872168
2018-03-19,2018-04-18,2018-04-20,15.831024957243384
2018-03-20,2018-04-18,2018-04-20,15.625148663550775
2018-03-21,2018-04-20,2018-04-23,15.42101091265966
2018-03-22,2018-04-20,2018-04-23,19.259313734094853
2018-03-23,2018-04-20,2018-04-23,20.921717654562688
2018-03-26,2018-04-25,2018-04-27,18.003204674730213
2018-03-27,2018-04-25,2018-04-27,19.835419696395817
2018-03-28,2018-04-27,2018-04-30,19.889535777409137
2018-03-29,2018-04-27,2018-04-30,17.74842427247991
2018-04-02,2018-05-02,2018-05-04,20.475150123801004
2018-04-03,2018-05-02,2018-05-04,19.037955260740535
2018-04-04,2018-05-04,2018-05-07,18.226277957711343
2018-04-05,2018-05-04,2018-05-07,17.018537457175704
2018-04-06,2018-05-04,2018-05-07,18.698596730036225
2018-04-09,2018-05-09,2018-05-11,19.376987039777966
2018-04-10,2018-05-09,2018-05-11,18.147025834656585
2018-04-11,2018-05-11,2018-05-14,18.080313718993587
2018-04-12,2018-05-11,2018-05-14,16.61861319367607
2018-04-13,2018-05-11,2018-05-14,15.468803972197554
2018-04-16,2018-05-16,2018-05-18,14.455147738875315
2018-04-17,2018-05-16,2018-05-18,13.594005628623995
2018-04-18,2018-05-18,2018-05-21,13.431866304403176
